sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
Argentina,82,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,,,,,,,,,,
Australia,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9533333333333334,1.0,0.9933333333333333,0.96,0.96,-0.04,-0.08,-0.006666666666666667,0.0703125,0.9140625,-0.006666666666666667,-0.05333333333333334,0.04,1.0,1.0
Austria,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.9487179487179487,,,,,,,,,,
Belgium,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9871794871794872,0.8589743589743589,,,,,,,,,,
Brazil,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Canada,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.8866666666666667,0.9533333333333334,0.98,0.1,0.04666666666666667,0.15333333333333332,0.000728607177734375,0.01311492919921875,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.0625,0.9375
Chile,40,False,False,0.975,0.975,1.0,1.0,1.0,0.95,0.975,0.875,0.95,0.975,,,,,,,,,,
China,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9733333333333334,0.9933333333333333,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.0625,0.875,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0
Colombia,46,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8478260869565217,0.9347826086956522,0.9130434782608695,,,,,,,,,,
Costa Rica,23,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,,,,,,,,,,
Denmark,71,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971830985915493,0.9859154929577465,0.971830985915493,,,,,,,,,,
Egypt,88,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659090909090909,1.0,0.8977272727272727,,,,,,,,,,
Ethiopia,25,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Finland,49,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,,,,,,,,,,
France,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.98,0.9733333333333334,0.98,0.006666666666666667,-0.02,0.04,1.0,1.0,0.013333333333333334,-0.02,0.04666666666666667,0.6875,1.0
Georgia,150,True,True,1.0,0.2,1.0,0.88,1.0,0.7133333333333334,0.2,0.8,0.52,0.8066666666666666,-0.08666666666666667,-0.18666666666666668,0.013333333333333334,0.12373144253809215,1.0,0.19333333333333333,0.08,0.30666666666666664,0.0019314374822250477,0.03476587468005086
Germany,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9933333333333333,0.9866666666666667,0.04,0.013333333333333334,0.07333333333333333,0.03125,0.53125,0.006666666666666667,0.0,0.02,1.0,1.0
